Ward No,Ward Name ,Current corporator Name,Party,Winner's votes,1st runner up,Party,Votes,Victory margin,Past corporator Name,Party
20,Ganganagar,Pramila Anand,BJP,5982,Dr Radha Harish,INC,4863,1119,V. Anand,BJP
21,Hebbal,Anand Kumar,INC,7343,Jayappa Reddy,BJP,5537,1806,C.R. Jayappa Reddy,BJP
22,Vishwanatha Nagenahalli,Rajashekharan V,JDS,9100,D Venkatesh,BJP,6901,2199,Munirathnamma,INC
23,Nagavara,Irshad Begum,INC,10846,Shajiya S,Independent,10236,610,Irshaad Begum,INC
24,H.B.R Layout,P Anand,INC,10737,K Narayanaswamy,BJP,6781,3956,B Govindaraju,BJP
25,Horamavu,Radhamma ,INC,24756,N Bharathi Muniraju,BJP,16222,8534,Tejaswini N Raju,BJP
26,Ramamurthy nagar,Padmavathi Srinivas,BJP,13355,M Shantha,INC,11293,2062,M Revanna,BJP
27,Banaswadi,Kodanda Reddy,BJP,9067,B C Prabhakar Reddy,INC,6597,2470,A. Kodanda Reddy,BJP
28,Kammanahalli,Munilakshmamma,BJP,8689,B Kalpana,INC,6419,2270,M.C. Srinivas,BJP
29,Kacharakanahalli,Padmanabha Reddy,BJP,7512,J Ashok Reddy (Papayya Reddy) ,INC,6578,934,Padmanabh Reddy,JDS
30,Kadugondanahalli,Noushir Ahmad,INC,6122,Mohammad Javed Azam,Independent,4155,1967,Shaheen Taj,INC
31,Kushaal nagar,Umme Salma,JDS,8352,Noor Jahan Sharief,INC,6715,1637,Noor Jahaan,INC
32,Kavalbyrasandra,Netra Narayan,JDS,7375,Y R Gowramma,BJP,5944,1431,Y.R. Gowramma,BJP
33,Manorayanapalya,Abdul Wajid,INC,5625,Ashwak Ahmed,JDS,3811,1814,Foujiya Begum,INC
34,Gangenahalli,M Nagaraja,BJP,4639,E B Vijikumar,INC,4085,554,M. Nagaraja,BJP
35,Aramane Nagar,Sumangala B,BJP,6486,Latha R ,INC,3693,2793,Dr. M.S Shivaprasad,BJP
36,Mattikere,Jayaprakash M C,BJP,8584,Harish K E,INC,7172,1412,Muniswamy Gowda,BJP
37,Yashwanthpura,G K Venkatesh ,INC,11583,K Jayakumar,JDS,4374,7209,Munirathna,INC
38,H.M.T Ward,Asha Suresh,INC,9031,K Manjula,BJP,6081,2950,Asha Suresh,INC
39,Chokkasandra,Sarvamangala Nagaraj,BJP,12114,Lakshmamma M Muniswamy,JDS,11212,902,M. Muniswamy,JDS
40,Doddabidirekallu,Vasudeva S,INC,16069,Gopal R,JDS,11114,4955,T.A.Gayithree,JDS
41,Peenya Industrial Area,Lalitha Thimananjaiah,INC,8399,Latha Ramesh,JDS,8378,21,K.L Thimmananjayya,Independent
42,Lakshmidevinagara,Velu Nayakar,INC,9136,Makali Paramesh,BJP,5739,3397,Thimmaraju,BJP
43,Nandini Layout,K V Rajendra Kumar,BJP,10244,M Nagaraj,INC,9334,910,M Nagaraj,INC
44,Marappana Palya,Mahadev M,JDS,9091,Anandamurthy,INC,4354,4737,Lakshmi,JDS
45,Malleshwaram,N Jayapal,BJP,7984,Dr Rajesh,INC,5773,2211,N. Jayapala,INC
46,Jayachamarajendra Nagar,Ganesh Rao Mane,BJP,6106,Govindaraju N,INC,5940,166,N. Govindraju,INC
47,Devarajeevanahalli,Sampathraj,INC,9598,Syed Usman,JDS,3532,6066,Sri.R. Sampath Raj.,INC
48,Muneshwara Nagar,Syed Sazida,INC,6089,Kriya Shailaja,JDS,3761,2328,S. Kriyaa Shylaja,JDS
49,Lingarajapura,Lavanya Ganesh,INC,9332,Savithri Radhakrishna,BJP,2821,6511,Lavanya Ganesh Reddy,INC
50,Benniganahalli,Meenakshi,INC,8701,Vijayalakshmi Krishna,BJP,8307,394,N. Dayanand,BJP
51,Viginanapura,S Raju (Bande Raja),BJP,10449,Syed Mastan,INC,10214,235,Sugumar (Sugun),BJP
52,K.R.Puram,K Poornima,BJP,11037,D K Mohan,INC,10487,550,N.Veeranna,BJP
53,Basavanapura,B N Jayaprakash,INC,10651,K Sundar Raju,BJP,10641,10,K Poornima,INC
54,Hoodi,Hariprasad A C,INC,12109,H V Manjunath,BJP,10364,1745,B.A. Basavaraju,INC
55,Devasandra,M N Srikanth,INC,6983,Manjuladevi R,BJP,6099,884,R. Manjula Devi,BJP
56,A.Narayanapura,V Suresh,INC,12197,V C Raju,BJP,6808,5389,Smt Vijaya Prasad,BJP
57,C.V Raman Nagar,Aruna Ravi,BJP,11487,Shilpa K S,INC,5800,5687,M Krishnappa,BJP
58,New Thippasandra,Shilpa K S ,INC,9019,Suma Srinivas,BJP,7668,1351,Sumithra,BJP
59,Maruthi Seva Nagar,Hanna Bhuvaneshwari,INC,7521,Shrikanth Seetharam,BJP,6625,896,R. Rajendran,INC
60,Sagayapuram,Elumalai,Independent,5345,Smt Maari Mutthu,JDS,4144,1201,V.Palaniyammal,INC
61,S.K Garden,Mohd Zameer Shah,INC,5886,Mahesh Kumar,JDS,2978,2908,Devikarani Sridhar,INC
62,Ramaswamy Palya,Netravathi Krishnegowda,INC,7297,Girija Prakash,BJP,4209,3088,N. Chandra,INC
63,Jayamahal,M K Gunashekhar,INC,4960,Kaleem Pasha,JDS,1922,3038,Sri.M.K Gunashekar,INC
64,Rajmahal Guttahalli,Hemalatha Sathish Seth,BJP,6728,Veena Vishwanath,INC,6368,360,M. Vijaya Kumari,BJP
65,Kadu Malleshwaram,Manjunath Raju,BJP,8953,L Nithyananda Prabhu,INC,5542,3411,G.Manjunath Raju,BJP
66,Subramanya Nagar,H Manjunath,INC,8272,Shivarajamurthy D,BJP,6749,1523,S. Shashikala Kiran,BJP
67,Nagapura,Badregowda,JDS,7434,S Harish,BJP,7200,234,S.Harish,BJP
68,Mahalakshmipuram,S Keshavamurthy,INC,8824,M S Shivanandamurthy,BJP,5905,2919,S. Keshavmurthy,INC
69,Laggere,Manjula Narayanaswamy,JDS,12625,Ambujakshi Ravigowda,INC,9727,2898,Lakshmikanth Reddy,BJP
70,Rajagopalanagar,Padmavathi Narasimhamurthy,JDS,10772,Anitha Suresh,BJP,9144,1628,H.N. Gangadhara,BJP
71,Heggenahalli,Bhagyamma K,BJP,14187,Varalakshmi Govindegowda,JDS,9092,5095,Sri.M.B Govindegowda,Independent
72,Herohalli,Rajanna ,INC,12082,Srikanth,JDS,11810,272,A.M. Hanumanthegowda,JDS
73,Kottigepalya,G Mohan Kumar,INC,15185,Thimmaraju,BJP,11235,3950,S. Venkatesh Babu,BJP
74,Shakthi Ganapathi Nagar,Gangamma Rajanna,JDS,7782,Chandrakala J Jagadish,INC,6887,895,Padmavathi Srinivas,JDS
75,Shankaramatt,M Shivaraju,INC,7919,B M Srinivas,BJP,6918,1001,M. Shivaraju,INC
76,Gayithri Nagar,Chandrakala Harish,INC,8384,Dhruthi K M ,BJP,6308,2076,Chetan Gowda,BJP
77,Dattatreya Temple,R S Satynarayan,INC,6958,Datta N Nanjappa,BJP,4115,2843,R. S. Sathyanarayana,INC
78,Pulakeshinagar,A R Zakir,INC,7278,S Aslam Pasha,Independent,1550,5728,Abdul Rakeeb Zakir,INC
79,Sarvajna Nagar,Shashirekha Mukund,BJP,7094,Manjula,INC,6011,1083,G. Bhuvaneshwari,BJP
80,Hoysala Nagar,Anand Kumar,Independent,6439,Lakshmi Venkatesh,INC,4371,2068,Savitha Ramesh,BJP
81,Vignana Nagar,S G Nagaraj,INC,10993,V Mohanmurthy,BJP,9680,1313,Geetha Vivekananda,BJP
82,Garudachar Palya,B N Nithish Purushotham,INC,10059,Anantharamaiah,BJP,9815,244,N. Pillappa,INC
83,Kadugodi,S Muniswamy,BJP,8590,P Rajanna,INC,8034,556,K.N Anjaneya Reddy,INC
84,Hagaduru,S Uday Kumar,INC,11965,Sridhar Reddy,BJP,11794,171,H.A.Srinivasa,INC
85,Doddanekundi,Shwetha Vijayakumar,BJP,10740,Usha Guru,INC,8766,1974,N.R. Sridhar Reddy,BJP
86,Marathhalli,Ramesh,Independent,6707,R Ravikumar,INC,4446,2261,J. Varalakshmi,INC
87,H.A.L Airport ward,N Manjunath,INC,9232,Dr Y R Shashidhar,BJP,6146,3086,Siddalingaiah (Siddu),BJP
88,Jeevan Bheema Nagar,Veena Kumari ,BJP,6572,K R Prabhavathi,INC,5495,1077,K ChandraShekar,BJP
89,Jogupalya,Gautham Kumar,BJP,8207,P Chandrashekhar,INC,5408,2799,M. Gowtham Kumar,BJP
90,Ulsoor,Mamatha Saravana,Independent,6782,Yashoda Udaykumar,INC,3184,3598,R. Uday Kumar,INC
91,Bharathi Nagar,Shakeel Ahmed,INC,6984,Umamaheshwara,BJP,5476,1508,Shakeel Ahmad,INC
92,Shivaji Nagar,Fareeda,INC,10716,Shama Sulthana,Independent,1525,9191,Fareeda,Independent
93,Vasanth Nagar,Sampath Kumar,BJP,4348,B R Naidu,INC,3773,575,Katta Jagadish,BJP
94,Gandhi Nagar,R J Lalitha,INC,6494,Gopalakrishna,BJP,5881,613,"S Nataraj (deceased)
replaced by T Gopala Krishna",INC
95,Subhash Nagar,L Govindaraju,INC,5923,V Nagaraj,Independent,4093,1830,T. Mallesh,INC
96,Okalipuram,V Shivaprakash,BJP,6539,C Krishna,JDS,4302,2237,Queen Elizebeth,INC
97,Dayananda Nagar,Kumari Palanikanth,BJP,7326,Shakila Muniraju,INC,5891,1435,Smt.M Shakeela,INC
98,Prakash Nagar,Padmavathi G,INC,10884,Devika Raj,BJP,3830,7054,K Raveendran,BJP
99,Rajajinagar,G Krishnamurthy,INC,6401,H R Krishnappa,BJP,6003,398,H.R Krishnappa,BJP
100,Basaveshwaranagar,Umavathi Padmaraj,BJP,8098,Pramila H,INC,5796,2302,S.H. Padmaraj,BJP
101,Kamakshipalya,Pratima K S Ramesh,BJP,7880,Rekha Sudhakar Rao,INC,3655,4225,K. Ranganna,BJP
102,Vrushabhavathi Nagar,S P Hemalatha,JDS,16654,Shanthamma,INC,4604,12050,L Nagarathna,JDS
103,Kaveripura,R Ramila,JDS,12037,Sunanda L,INC,9366,2671,R. Prakash,JDS
104,Govindarajanagar,Umesh Shetty,BJP,7865,G Krishnappa,INC,5239,2626,Mohan Kumar,BJP
105,Agrahara Dasarahalli,Shilpa G Sridhar,BJP,7992,Kusuma,INC,6179,1813,Roopadevi,BJP
106,Dr. Rajkumar Ward,Roopa R,INC,4709,M G Jayarathna,BJP,4041,668,Gangabyrayya,BJP
107,Shiva Nagar,Manjula Vijaykumar,INC,6435,Puualakshmi,BJP,5933,502,Manjunath,BJP
108,Sri Ramamandira Ward,Deepa Nagesh,BJP,6927,Hemalatha Janardhan,INC,4945,1982,M.G. Jayarathna,BJP
109,Chikpete,Leela Shivakumar,BJP,7251,H Bhagyalakshmi,INC,6058,1193,A.L Shivakumar,BJP
110,Samapangirama Nagar,R Vasanth Kumar,INC,5654,Anand,BJP,4972,682,M. Gopi,BJP
111,Shantala Nagar,M B Dwarakanath,BJP,3996,A Joseph Moses,INC,3372,624,K. Shivakumar,Independent
112,Dommalur,Lakshminarayan,Others,5994,Janakiram M,INC,3680,2314,Geetha Srinivasareddy,BJP
113,Konena Agrahara,Chandrappa Reddy,Others,4893,Surendranath Reddy,BJP,4584,309,M. Chandrappa Reddy,BJP
114,Agaram,Bhavya,BJP,5348,Shanthan Merry,INC,5187,161,Sarala,INC
115,Vannarpete,K Shivakumar,BJP,7709,Shafi Ahmed,INC,5519,2190,S. Vijayan,INC
116,Neelasandra,Balakrishnan G,INC,8960,H M Gangappa,Independent,2994,5966,Lokesh,INC
117,Shanthi Nagar,P Sowmya,INC,10878,R V Nagaratna Yadav,BJP,4789,6089,P Sowmya,INC
118,Sudham Nagar,R V Yuvaraj,INC,6996,V K Praveen,JDS,4033,2963,Kumari Avvayi,INC
119,Dharmaraya Swamy Temple Ward,Prathibha Dhanraj,BJP,6332,Rabiya Basri,INC,5380,952,P. Dhanaraj,BJP
120,Cottonpet,D Pramod,INC,9280,P Palani,BJP,5622,3658,Vasanth Kumari,BJP
121,Binnypet,Mahadevamma Nagaraj,INC,12258,P Pushparani,BJP,3118,9140,N. SriVidya,INC
122,Kempapura Agrahara,Gayathri,Independent,8630,Rekha Siddharaju,BJP,5821,2809,Nirmala,INC
